cp1;cp2;REF;Prolific ID (obscured);sesso;eta;valido;gruppo;tempoistr;tempotask;tempovd;tempocheck;tempotot;vd;check
B;75;99;;M;21;si;2;98.0754;259.7458;16.4031;8.5095;470.4955;93;3
A;76;100;;M;29;si;2;89.5597;201.009;26.5411;22.1007;379.2675;80;5
B;77;102;;F;34;si;2;59.2315;203.8386;9.1824;4.3669;305.0683;53;4
A;78;103;;F;29;si;2;54.6318;193.2758;16.5336;7.0928;308.8627;55;4
B;79;104;;F;32;si;2;179.845;276.294;28.987;25.36;692.979;80;7
A;80;106;;M;37;si;2;55.45;188.594;15.132;10.383;304.729;95;3
A;81;107;;M;30;si;2;68.8455;194.9817;7.4198;3.66;313.2872;66;6
B;82;108;;F;27;si;2;105.0193;288.1824;15.181;5.6823;456.1567;85;6
A;83;109;;F;28;si;2;48.4211;268.8187;20.9802;8.0247;379.0506;85;4
B;84;105;;F;26;si;2;74.8781;211.9637;14.6794;8.3994;357.7739;75;5
A;85;110;;F;22;si;2;99.3344;230.6693;7.5328;6.1826;373.3492;33;6
B;86;111;;F;23;si;2;69.9843;194.1085;9.9978;5.7651;308.5157;72;5
A;87;113;;F;27;si;2;102.291;234.17;29.334;11.568;472.169;93;7
B;88;114;;M;24;si;2;114.226;196.7901;13.3381;7.2358;377.6768;88;6
A;89;115;;M;38;si;2;76.177;210.262;14.06;8.731;591.337;95;1
B;90;116;;M;62;si;2;164.4197;371.0198;71.2065;27.4669;757.1328;74;5
A;91;118;;F;27;si;2;61.706;216.242;16.969;5.989;386.39;50;7
B;92;119;;F;54;si;2;54.401;224.369;20.105;7.77;392.645;91;1
A;93;120;;F;37;si;2;64.643;270.388;94.148;6.95;484.211;75;6
A;94;122;;F;24;si;2;86.014;266.058;14.082;7.628;419.638;90;6
B;95;123;;F;25;si;2;165.8041;239.4464;23.679;11.5297;496.3205;66;7
A;96;124;;M;25;si;2;47.7873;204.1613;13.21;6.3376;296.8605;75;6
B;97;125;;F;47;si;2;115.1762;365.5024;43.3238;9.8592;602.5089;93;6
A;98;126;;F;36;si;2;16.145;189.6294;3.9696;2.7851;230.8987;60;2
B;99;128;;F;43;si;2;76.8;237.728;11.3;10.283;374.999;75;5
A;100;129;;F;46;si;2;49.4964;222.6707;14.8485;9.6149;342.0336;79;7
B;101;130;;F;58;si;2;73.036;260.75;24.732;14.148;404.597;100;6
A;102;131;;M;34;si;2;86.9951;202.3097;20.4649;13.6312;363.1415;82;7
B;103;132;;;;;;;;;;;;
A;104;133;;;;;;;;;;;;
B;105;134;;;;;;;;;;;;
A;106;135;;;;;;;;;;;;
A;107;136;;;;;;;;;;;;
B;108;137;;;;;;;;;;;;
A;109;139;;;;;;;;;;;;
B;110;140;;;;;;;;;;;;
A;111;142;;;;;;;;;;;;
B;112;143;;;;;;;;;;;;
A;113;146;;;;;;;;;;;;
B;114;147;;;;;;;;;;;;
A;115;149;;;;;;;;;;;;
B;116;150;;;;;;;;;;;;
A;117;152;;;;;;;;;;;;
B;118;153;;;;;;;;;;;;
A;119;154;;;;;;;;;;;;
A;120;155;;;;;;;;;;;;
B;121;156;;;;;;;;;;;;
A;122;157;;;;;;;;;;;;
B;123;158;;;;;;;;;;;;
A;124;159;;;;;;;;;;;;
B;125;160;;;;;;;;;;;;
A;126;161;;;;;;;;;;;;
B;127;162;;;;;;;;;;;;
A;128;163;;;;;;;;;;;;
B;129;164;;;;;;;;;;;;
A;130;165;;;;;;;;;;;;
B;131;166;;;;;;;;;;;;
A;132;167;;;;;;;;;;;;
A;133;168;;;;;;;;;;;;
B;134;169;;;;;;;;;;;;
A;135;170;;;;;;;;;;;;
B;136;171;;;;;;;;;;;;
A;137;172;;;;;;;;;;;;
B;138;174;;;;;;;;;;;;
A;139;176;;;;;;;;;;;;
B;140;177;;;;;;;;;;;;
A;141;178;;;;;;;;;;;;
B;142;179;;;;;;;;;;;;
A;143;180;;;;;;;;;;;;
B;144;183;;;;;;;;;;;;
A;145;184;;;;;;;;;;;;
A;146;185;;;;;;;;;;;;
B;147;186;;;;;;;;;;;;
A;148;188;;;;;;;;;;;;
B;149;189;;;;;;;;;;;;
A;150;190;;;;;;;;;;;;
B;151;191;;;;;;;;;;;;
A;152;193;;;;;;;;;;;;
B;153;194;;;;;;;;;;;;
A;154;195;;;;;;;;;;;;
B;155;197;;;;;;;;;;;;
A;156;198;;;;;;;;;;;;
B;157;199;;;;;;;;;;;;
A;158;200;;;;;;;;;;;;
A;159;201;;;;;;;;;;;;
B;160;202;;;;;;;;;;;;
A;161;203;;;;;;;;;;;;
B;162;204;;;;;;;;;;;;
A;163;205;;;;;;;;;;;;
B;164;400;;;;;;;;;;;;
A;165;401;;;;;;;;;;;;
B;166;301;;;;;;;;;;;;
A;167;303;;;;;;;;;;;;
B;168;304;;;;;;;;;;;;
A;169;305;;;;;;;;;;;;
B;170;306;;;;;;;;;;;;
A;171;307;;;;;;;;;;;;
A;172;308;;;;;;;;;;;;
B;173;309;;;;;;;;;;;;
A;174;310;;;;;;;;;;;;
B;175;311;;;;;;;;;;;;
A;176;312;;;;;;;;;;;;
B;177;315;;;;;;;;;;;;
A;178;316;;;;;;;;;;;;
B;179;318;;;;;;;;;;;;
A;180;319;;;;;;;;;;;;
B;181;320;;;;;;;;;;;;
