cp1;cp2;REF;email;sesso;eta;valido;gruppo;tempoistr;tempotask;tempovd;tempocheck;tempotot;vd;check;;;;;;;;;;;
A;59;81;;F;34;si;4;32.8474;227.197;16.9317;18.0653;338.1158;70;5;;;;;;;;;;;
B;60;82;;F;18;si;2;49.8314;382.6107;35.7929;8.8719;560.1044;61;7;;;;;;;;;;;
A;61;83;;F;19;si;3;49.976;242.766;13.104;6.356;448.703;60;1;;;;;;;;;;;
B;62;88;;F;58;si;1;41.9916;639.9891;61.9606;22.5381;816.1784;20;4;;;;;;;;;;;
A;63;89;;M;22;si;2;59.1582;219.5081;20.1335;14.3419;427.0985;78;6;;;;;;;;;;;
B;64;84;;F;28;si;3;39.3595;324.3816;285.6584;10.6474;754.2127;75;1;;;;;;;;;;;
A;65;85;;F;22;si;4;72.8551;213.6079;14.6182;11.6152;394.7299;75;3;;;;;;;;;;;
B;66;74;;F;21;si;4;347.321;292.298;43.877;11.631;799.898;74;7;;;;;;;;;;;
A;67;91;;F;20;si;4;84.34;614.697;48.088;19.341;830.09;56;7;;;;;;;;;;;
A;68;92;;F;21;si;1;41.8628;232.1822;14.2042;11.1892;366.6366;86;1;;;;;;;;;;;
B;69;93;;M;21;si;2;72.5155;204.2302;12.3164;13.5374;370.4165;74;4;;;;;;;;;;;
A;70;94;;M;22;si;3;83.4611;202.3181;16.0978;8.3153;412.5459;80;1;;;;;;;;;;;
B;71;95;;F;23;si;1;61.5151;212.7935;21.5548;15.8686;387.3258;40;3;;;;;;;;;;;
A;72;96;;M;20;si;1;54.664;235.289;14.989;7.877;424.113;70;2;;;;;;;;;;;
B;73;97;;F;20;si;3;59.017;245.959;18.145;13.229;402.786;70;5;;;;;;;;;;;
A;74;98;;F;23;si;3;29.653;226.14;18.917;6.447;347.822;75;1;;;;;;;;;;;
B;75;99;;F;24;si;3;47.3703;302.7592;19.7292;7.5992;424.6194;56;4;;;;;;;;;;;
A;76;100;;;;no;4;;;;;;;;;;;;;;;;;;
B;77;102;;F;63;si;4;217.947;343.105;72.509;42.282;848.269;67;6;;;;;;;;;;;
A;78;103;;F;24;si;1;34.1451;210.2898;15.4229;6.7289;308.5392;50;1;;;;;;;;;;;
B;79;104;;F;20;si;2;79.5094;243.5273;19.6701;10.1188;500.6283;65;6;;;;;;;;;;;
A;80;106;;F;23;si;2;78.115;192.69;20.253;10.227;381.249;79;7;;;;;;;;;;;
A;81;107;;F;20;si;4;139.235;407.719;168.503;63.167;913.68;22;6;;;;;;;;;;;
B;82;108;;;;no;3;;;;;;;;;;;;;;;;;;
A;83;109;;M;27;si;4;40.9872;250.859;18.5693;16.6044;374.0531;79;5;;;;;;;;;;;
B;84;105;;F;20;si;3;36.6753;294.6285;22.3172;7.2893;432.7516;32;1;;;;;;;;;;;
A;85;110;;F;23;si;2;45.6739;222.4506;12.0214;11.5221;369.5325;80;5;;;;;;;;;;;
B;86;111;;M;30;si;1;71.7587;495.0119;46.0379;22.7612;722.5247;72;2;;;;;;;;;;;
A;87;113;;F;20;si;2;108.352;325.1113;26.0252;11.976;512.5247;76;4;;;;;;;;;;;
B;88;114;;F;20;si;3;108.0699;214.1637;43.8995;15.2548;481.7235;71;1;;;;;;;;;;;
A;89;115;;M;18;si;1;37.245;211.84;12.966;7.266;320.045;40;7;;;;;;;;;;;
B;90;116;;F;27;si;3;32.5361;225.1206;34.936;12.0984;375.4644;88;2;;;;;;;;;;;
A;91;118;;F;19;si;3;83.5387;295.7292;32.0954;12.7806;518.2167;45;2;;;;;;;;;;;
B;92;119;;F;24;si;2;50.9792;231.3071;16.5864;6.9641;361.101;74;4;;;;;;;;;;;
A;93;120;;F;19;si;1;78.65;246.759;28.2;11.049;437.263;67;2;;;;;;;;;;;
A;94;122;;F;21;si;4;71.0002;270.6582;24.7094;9.5574;437.9801;63;5;;;;;;;;;;;
B;95;123;;F;22;si;1;35.483;259.6163;28.0825;7.2661;386.2619;64;1;;;;;;;;;;;
A;96;124;;M;23;si;4;102.8917;273.6775;43.2142;7.9969;516.6875;84;5;;;;;;;;;;;
B;97;125;;M;24;si;2;73.1457;250.0914;49.37;20.6104;474.2005;87;5;;;;;;;;;;;
A;98;126;;F;26;si;3;83.633;238.3337;31.8824;19.0663;452.3927;85;1;;;;;;;;;;;
B;99;128;;F;22;si;4;71.599;208.388;9.524;18.832;392.129;50;5;;;;;;;;;;;
A;100;129;;F;25;si;2;62.4175;277.9595;26.6757;8.5305;446.7263;78;7;;;;;;;;;;;
B;101;130;;F;19;si;4;106.4034;206.8568;32.3336;12.0828;431.7799;37;5;;;;;;;;;;;
A;102;131;;F;20;si;1;42.6704;200.7447;11.5585;7.1727;358.1654;50;1;;;;;;;;;;;
B;103;132;;F;26;si;3;96.1636;274.6937;19.6119;13.9473;478.4717;85;4;;;;;;;;;;;
A;104;133;;F;22;si;3;34.5509;294.3271;19.8805;22.3496;434.9958;80;1;;;;;;;;;;;
B;105;134;;F;25;si;1;51.1867;231.0826;18.2317;11.7334;389.1217;75;2;;;;;;;;;;;
A;106;135;;F;23;si;4;111.6825;207.7375;20.7304;11.5716;424.0655;80;6;;;;;;;;;;;
A;107;136;;M;21;si;2;159.6458;242.067;18.2026;12.7991;508.3124;81;7;;;;;;;;;;;
B;108;137;;F;23;si;2;44.3522;241.2299;15.9674;6.0666;368.3341;81;2;;;;;;;;;;;
A;109;139;;F;22;si;4;48.6262;222.6876;21.7556;14.0259;362.2334;85;3;;;;;;;;;;;
B;110;140;;F;26;si;3;79.2688;199.682;19.4666;10.4339;395.8411;72;5;;;;;;;;;;;
A;111;142;;M;22;si;3;34.273;233.964;27.373;9.751;377.238;92;1;;;;;;;;;;;
B;112;143;;F;19;si;4;63.0264;238.5198;19.6978;8.3489;391.9018;80;4;;;;;;;;;;;
A;113;146;;F;22;si;2;22.493;284.7825;21.0434;9.0802;440.3283;70;3;;;;;;;;;;;
B;114;147;;F;38;si;1;51.571;238.842;15.215;11.738;390.713;50;1;;;;;;;;;;;
